InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,ProductID,Category
INV-770487,STK0002,Laptop,2,2023-05-23,999.0,10095,Germany,2,Electronics
INV-809570,STK0009,Desk Lamp,6,2023-04-06,25.0,10028,Netherlands,9,Home
INV-629903,STK0010,Novel Book,2,2024-12-19,12.0,10070,Italy,10,Books
INV-331148,STK0008,Toaster,38,2025-02-16,35.0,10021,Italy,8,Home
INV-456778,STK0005,Jeans,10,2023-04-15,39.0,10012,Italy,5,Clothing
INV-201414,STK0006,Sneakers,23,2025-01-17,79.0,10059,Belgium,6,Clothing
INV-230889,STK0007,Blender,6,2024-09-25,45.0,10047,Portugal,7,Home
INV-301629,STK0002,Laptop,3,2023-03-23,999.0,10030,Germany,2,Electronics
INV-498591,STK0005,Jeans,30,2024-01-15,39.0,10046,Netherlands,5,Clothing
INV-802729,STK0005,Jeans,45,2024-09-15,39.0,10082,France,5,Clothing
INV-660086,STK0004,T-Shirt,11,2025-08-05,19.0,10082,Belgium,4,Clothing
INV-330283,STK0006,Sneakers,50,2023-02-02,79.0,10041,Italy,6,Clothing
INV-380746,STK0002,Laptop,14,2025-01-05,999.0,10041,Netherlands,2,Electronics
INV-787277,STK0008,Toaster,26,2023-05-27,35.0,10034,France,8,Home
INV-358607,STK0009,Desk Lamp,35,2025-07-08,25.0,10075,Italy,9,Home
INV-479580,STK0004,T-Shirt,9,2023-02-18,19.0,10015,France,4,Clothing
INV-757924,STK0003,Headphones,44,2024-01-26,59.0,10077,Ireland,3,Electronics
INV-654816,STK0005,Jeans,36,2025-01-08,0.0,10015,Belgium,5,Clothing
INV-887352,STK0005,Jeans,50,2024-03-21,39.0,10021,Ireland,5,Clothing
INV-103402,STK0005,Jeans,33,2023-04-19,39.0,10081,Norway,5,Clothing
INV-982554,STK0009,Desk Lamp,39,2023-06-15,25.0,10070,Belgium,9,Home
INV-100599,STK0010,Novel Book,21,2024-01-07,12.0,10040,Netherlands,10,Books
INV-160738,STK0004,T-Shirt,37,2024-05-12,19.0,10009,Belgium,4,Clothing
INV-903035,STK0003,Headphones,9,2023-06-19,59.0,10034,Belgium,3,Electronics
INV-736059,STK0007,Blender,14,2024-12-07,45.0,10026,Norway,7,Home
